feature,normalization,stratum,statistic,rho,p,n
rel_delta,raw,all,MAX,0.15740180933882822,9.624262633555972e-15,2393
rel_delta,raw,all,P95,0.1606018383223968,2.7092034865676694e-15,2393
rel_delta,raw,W,MAX,0.08390891553114012,4.362815721265939e-05,2367
rel_delta,raw,W,P95,0.08539278333920626,3.183589553398209e-05,2367
rel_delta,raw,N1,MAX,0.1521779835120886,5.605193260838065e-13,2221
rel_delta,raw,N1,P95,0.15399682592265834,2.9433268548802645e-13,2221
rel_delta,raw,N2,MAX,0.09279635926522736,3.6234696103562446e-05,1975
rel_delta,raw,N2,P95,0.09520691399735448,2.254807899190145e-05,1975
rel_delta,raw,N3,MAX,0.08576792932455263,0.006462641172364837,1007
rel_delta,raw,N3,P95,0.08585507034247103,0.006408513508544378,1007
rel_delta,raw,REM,MAX,0.12842773967067678,1.100326030822681e-08,1966
rel_delta,raw,REM,P95,0.1327196805226498,3.4809034684559634e-09,1966
rel_delta,age-normed |z|,all,MAX,0.1070641253762501,1.523026830338853e-07,2393
rel_delta,age-normed |z|,all,P95,0.10146647191763512,6.564800534597673e-07,2393
rel_delta,age-normed |z|,W,MAX,0.06941103564959593,0.0007267969640114962,2367
rel_delta,age-normed |z|,W,P95,0.06992563204433483,0.0006631439484131042,2367
rel_delta,age-normed |z|,N1,MAX,0.07273383020030497,0.0006027432129620522,2221
rel_delta,age-normed |z|,N1,P95,0.07279710110937009,0.0005961302096102818,2221
rel_delta,age-normed |z|,N2,MAX,0.0824224347989653,0.0002455524776965078,1975
rel_delta,age-normed |z|,N2,P95,0.0821559826124849,0.00025722200845184793,1975
rel_delta,age-normed |z|,N3,MAX,0.11198610516657383,0.00037018352414261066,1007
rel_delta,age-normed |z|,N3,P95,0.10989302721739956,0.00047669953255193487,1007
rel_delta,age-normed |z|,REM,MAX,0.06785416357216571,0.0026109069436981197,1966
rel_delta,age-normed |z|,REM,P95,0.0676513088449346,0.0026895080076127452,1966
DAR,raw,all,MAX,0.1820453479795454,2.8131023924506856e-19,2393
DAR,raw,all,P95,0.1815006372922858,3.6040001111261123e-19,2393
DAR,raw,W,MAX,0.11740324914618684,1.012114718803811e-08,2367
DAR,raw,W,P95,0.11827193418140285,7.862848286206596e-09,2367
DAR,raw,N1,MAX,0.14971052192685955,1.3265739358255561e-12,2221
DAR,raw,N1,P95,0.1510262486448886,8.394543868557398e-13,2221
DAR,raw,N2,MAX,0.1282538194831161,1.066797092418191e-08,1975
DAR,raw,N2,P95,0.13045371918284215,5.930681844174835e-09,1975
DAR,raw,N3,MAX,0.16697966630244784,9.838098880497123e-08,1007
DAR,raw,N3,P95,0.16870812238182473,7.21799243903286e-08,1007
DAR,raw,REM,MAX,0.12209090186950866,5.6245328809658006e-08,1966
DAR,raw,REM,P95,0.12348456140746125,3.955936615544595e-08,1966
DAR,age-normed |z|,all,MAX,0.1070641253762501,1.523026830338853e-07,2393
DAR,age-normed |z|,all,P95,0.10146647191763512,6.564800534597673e-07,2393
